,ex_1_total,ex_2_total,intermediate_session_2,intermediate_session_3,intermediate_session_4,intermediate_session_5,intermediate_session_6,student_id
0,,94.5,5.0,0.0,4.5,4.0,2.25,1
1,,44.0,4.0,3.5,4.5,4.0,1.0,2
2,85.0,,3.5,3.5,4.5,4.0,0.0,3
3,,30.0,6.0,4.0,5.0,3.5,2.75,4
4,,38.5,5.0,4.0,5.0,4.0,2.75,5
5,82.0,,5.5,3.5,4.5,3.0,3.0,6
6,52.5,78.0,4.0,4.0,4.5,4.0,2.0,7
7,,8.5,4.0,3.5,4.0,3.0,0.0,8
8,,18.5,0.0,3.0,4.0,4.0,2.0,9
9,59.0,,5.0,4.0,4.5,4.0,3.0,10
10,,60.0,4.0,2.0,5.0,4.0,1.5,11
11,,40.5,3.5,3.5,4.5,4.0,2.0,12
12,90.0,,0.0,0.0,5.0,4.0,3.0,13
13,,64.0,6.0,4.0,5.0,4.0,2.75,14
14,67.5,,2.0,4.0,5.0,4.0,2.0,15
15,67.0,,3.0,2.5,5.0,4.0,2.0,16
16,97.0,,3.5,3.5,5.0,4.0,4.0,17
17,62.0,,5.0,4.0,4.5,4.0,3.0,18
18,,50.0,4.0,2.0,4.5,4.0,1.5,19
19,58.5,97.5,3.0,3.0,4.5,3.5,2.0,20
20,,,5.0,0.0,3.5,0.0,0.0,21
21,,40.0,4.5,0.0,4.0,4.0,0.0,22
22,,,0.0,1.5,4.0,3.5,0.0,23
23,32.5,70.5,2.5,2.0,4.5,3.5,3.0,24
24,,57.5,0.0,1.5,4.5,4.0,2.25,25
25,,,0.0,0.0,4.0,0.0,0.0,26
26,74.5,,0.0,3.0,4.5,4.0,1.75,27
27,79.5,,6.0,4.0,5.0,4.0,3.0,28
28,97.0,,4.0,3.0,5.0,4.0,3.75,29
29,7.0,55.5,3.0,2.0,4.5,4.0,2.75,30
30,,,0.0,0.5,4.0,3.0,0.0,31
31,75.5,,5.5,4.0,5.0,4.0,3.5,32
32,,30.5,0.0,0.0,4.0,0.0,0.0,33
33,,18.0,4.5,3.5,5.0,3.0,1.25,34
34,,,0.5,0.5,3.5,3.5,1.5,35
35,79.0,,5.5,4.0,5.0,4.0,2.75,36
36,19.0,30.0,0.0,0.0,4.5,3.5,3.0,37
37,,41.5,4.0,2.5,4.5,3.5,3.0,38
38,41.0,83.5,3.0,1.0,4.5,3.5,2.5,39
39,,,0.0,0.0,3.0,2.5,0.0,40
40,98.0,,5.5,4.0,5.0,4.0,3.25,41
41,,22.5,3.0,2.5,4.0,4.0,1.5,42
42,,,4.5,2.5,4.5,0.0,0.0,43
43,50.0,97.5,5.5,4.0,4.5,4.0,3.0,44
44,,46.0,0.0,1.0,4.5,2.5,0.0,45
45,12.0,22.0,2.0,0.5,4.0,4.0,1.0,46
46,,28.0,4.0,2.0,4.0,2.5,0.25,47
47,71.5,,3.5,2.5,4.5,4.0,2.5,48
48,,30.5,3.0,2.5,4.5,3.5,2.75,49
49,,,2.0,2.0,4.0,3.5,1.5,50
50,8.5,9.0,1.0,1.0,4.0,4.0,0.5,51
51,,36.0,6.0,4.0,5.0,4.0,2.25,52
52,70.5,,4.0,3.0,4.5,3.5,3.0,53
53,,39.0,4.5,3.5,4.5,3.5,0.75,54
54,,36.5,2.0,3.5,4.5,4.0,2.5,55
55,71.5,84.0,2.5,3.0,4.5,3.0,3.0,56
56,,23.0,0.0,0.0,4.5,0.0,2.75,57
57,,48.0,0.0,0.0,4.5,0.0,0.0,58
58,40.0,29.5,3.5,2.0,4.0,3.5,2.0,59
59,,16.5,2.0,0.5,4.0,3.5,1.0,60
60,,57.5,0.0,1.0,4.5,3.5,1.5,61
61,22.0,43.0,0.0,0.0,4.0,0.0,0.0,62
62,69.0,,3.5,1.5,5.0,3.5,1.0,63
63,,20.5,0.0,0.0,4.0,3.5,1.5,64
64,,,0.0,0.0,4.0,3.5,1.5,65
65,86.0,,0.0,2.0,4.5,3.0,2.25,66
66,80.5,92.0,5.5,4.0,4.5,4.0,2.75,67
67,62.5,91.0,5.5,3.5,5.0,4.0,3.0,68
68,,23.5,0.0,0.5,4.0,4.0,2.0,69
69,,60.5,5.5,4.0,5.0,4.0,3.25,70
70,,90.5,5.0,0.0,5.0,3.5,0.0,71
71,95.0,,4.5,3.0,4.0,3.5,2.75,72
72,28.5,49.0,4.5,3.0,4.0,0.0,2.0,73
73,18.0,,3.0,1.5,5.0,4.0,1.75,74
74,,87.5,0.0,4.0,5.0,4.0,2.0,75
75,93.5,,4.0,4.0,4.0,4.0,2.0,76
76,,66.5,0.0,0.0,4.0,0.0,0.0,77
77,78.0,,2.5,3.0,5.0,4.0,2.75,78
78,,84.5,5.0,3.5,4.5,4.0,2.75,79
79,,51.5,3.5,1.0,5.0,4.0,2.5,80
80,87.0,,5.0,4.0,5.0,4.0,2.75,81
81,,13.5,2.5,2.5,4.0,3.5,1.5,82
82,35.5,52.0,4.0,2.5,4.5,4.0,2.0,83
83,,,2.5,0.0,4.5,0.0,0.0,84
84,82.0,,6.0,4.0,5.0,4.0,4.0,85
85,94.0,,5.0,4.0,5.0,4.0,3.25,86
86,46.0,74.5,4.0,3.5,4.5,3.5,2.25,87
87,96.0,,5.0,3.0,5.0,4.0,2.75,88
88,16.5,,0.5,1.5,3.5,2.5,0.5,89
89,,,3.5,2.5,4.5,3.5,3.0,90
90,,66.5,6.0,4.0,5.0,4.0,2.25,91
91,19.5,35.0,2.5,2.5,4.5,4.0,1.0,92
92,66.0,,4.0,4.0,4.5,4.0,1.5,93
93,,92.5,5.5,4.0,5.0,4.0,2.75,94
94,,52.5,4.0,3.5,5.0,3.0,3.25,95
95,77.5,,4.5,0.0,5.0,4.0,2.25,96
96,,,4.0,3.0,4.5,0.0,0.5,97
97,66.5,,3.5,4.0,5.0,4.0,3.0,98
98,9.5,17.0,2.0,2.5,4.0,3.5,1.5,99
99,83.0,,3.5,2.0,0.0,4.0,3.0,100
100,18.5,32.0,4.5,1.5,0.0,3.5,0.0,101
101,,31.5,4.5,4.0,4.0,3.5,2.0,102
102,,18.5,2.0,0.0,0.0,3.5,0.0,103
103,,92.0,6.0,0.0,4.5,4.0,2.75,104
104,,,0.0,0.5,0.0,0.0,0.0,105
105,45.5,71.0,0.0,3.5,0.0,0.0,0.0,106
106,,,0.0,1.0,0.0,0.0,0.0,107
107,,,0.0,0.0,0.0,0.0,0.0,108
108,,,0.0,0.0,0.0,0.0,0.0,109
109,,,0.0,0.0,0.0,0.0,0.0,110
110,,,3.0,0.0,0.0,3.0,0.0,111
111,,,0.0,0.0,0.0,0.0,0.0,112
112,,,0.0,0.0,0.0,0.0,0.0,113
113,,,0.0,0.0,0.0,0.0,0.0,114
114,,,0.0,0.0,0.0,0.0,0.0,115
